"","InitialInterestRate","ppp_treated","agriculture","mining","utilities","construction","manufacturing","wholesale_trade","retail_trade","transport_ware","information","finance_ins","real_estate","professional","admin_support","education","healthcare","arts_entertain","accommodation","other_services","public_admin","age_established","age_new","age_startup","age_changed_owner","processing_plp","processing_express","processing_7a_general","collateral","commit","pif","charge_off","cancelled","has_franchise","west","northeast","midwest","pct_black","pct_native","pct_asian","pct_pacific","pct_other","pct_multiracial","approval_month_index","regional_bank","community_bank","fintech","cdfi","other_institution","LMIIndicator","Race","ApprovalYearMonth","JobsSupported","GrossApproval","race_black","race_asian","race_native","race_white","race_unanswered","race_multi","race_pacific","race_puerto_rican","hispanic","not_hispanic","ethnicity_unanswered","log_approval_amount","zip_code"
"38871",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.20514193893948,0.0803427959292983,1.33904659882164,1.09801821103374,0,8.38243170862346,13,0,1,0,0,0,"N","White","2021-05",1,225000,0,0,0,1,0,0,0,0,0,1,0,12.3238556811866,"64856"
"38872",6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1.35249366018597,0.507185122569738,0,0,0,0.253592561284869,19,0,1,0,0,0,"N","Unanswered","2021-11",6,260000,0,0,0,0,1,0,0,0,0,0,1,12.4684369099977,"53803"
"38885",11.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8.81480435089702,0.127136601214861,8.27800536798983,0.169515468286481,1.25723972312474,6.0601779912417,53,1,0,0,0,0,"N","White","2024-09",2,350000,0,0,0,1,0,0,0,0,0,1,0,12.7656884334656,"90401"
"38909",4.75,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3.23353856276731,0,4.03252338205574,0,0.15509705315599,3.22883865206561,23,1,0,0,0,0,"N","White","2022-03",14,80000,0,0,0,1,0,0,0,0,0,1,0,11.289781913656,"48009"
"38914",5.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,8.95920701486847,1.8935061634261,2.81575077610152,0.462937748488644,20.8376450084418,11.2339560299911,24,1,0,0,0,0,"N","White","2022-04",2,41400,0,0,0,1,0,0,0,0,0,1,0,10.6310361598134,"85037"
"38921",11.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,3.22510783446732,2.93815084192099,2.09532747387609,0.157014203468751,5.91961594686784,8.0113338988251,45,1,0,0,0,0,"N","Asian","2024-01",6,195000,0,1,0,0,0,0,0,0,0,1,0,12.1807548375459,"87124"
"38931",14.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,12.3829235384273,0.413943069728448,12.1589227000616,0.651043372326072,35.3724832654344,7.9277957531537,53,0,0,0,0,0,"Y","Asian","2024-09",8,58000,0,1,0,0,0,0,0,0,0,1,0,10.9681982895286,"90706"
"38951",4.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5.95963442498096,0.228484386900228,0.247524752475248,0,9.87242955064737,10.3008377760853,12,0,1,0,0,0,"Y","White","2021-04",6,300000,0,0,0,1,0,0,0,0,0,1,0,12.6115377536383,"46405"
"38952",4.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5.95963442498096,0.228484386900228,0.247524752475248,0,9.87242955064737,10.3008377760853,12,0,1,0,0,0,"Y","White","2021-04",6,300000,0,0,0,1,0,0,0,0,0,1,0,12.6115377536383,"46405"
"38954",5.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.760125963731133,30.839396242806,1.19448365729178,0,0.542947116950809,11.1304158974916,1,1,0,0,0,0,"N","White","2020-05",35,700000,0,0,0,1,0,0,0,0,0,1,0,13.4588356140255,"74434"
"38960",9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.760125963731133,30.839396242806,1.19448365729178,0,0.542947116950809,11.1304158974916,32,1,0,0,0,0,"N","White","2022-12",36,441200,0,0,0,1,0,0,0,0,0,1,0,12.9972535663615,"74434"
"38963",7.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.615595075239398,1.58686730506156,0.957592339261286,0,2.29822161422709,11.7099863201094,27,1,0,0,0,0,"Y","White","2022-07",4,25000,0,0,0,1,0,0,0,0,0,1,0,10.1266311038503,"98294"
"38971",5.25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1.90650300339514,0.225254635675111,2.13175763907025,0.0587620788717681,2.73570122747454,3.12418386001567,11,0,0,0,0,0,"N","White","2021-03",1,100000,0,0,0,1,0,0,0,0,0,1,0,11.5129254649702,"80120"
"38982",10.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,9.45310640323732,0.264817900499881,5.63556296119971,0.0535586765055939,6.98345631992383,8.31349678647941,52,0,0,0,0,0,"N","Unanswered","2024-08",2,100000,0,0,0,0,1,0,0,0,0,0,1,11.5129254649702,"49548"
